순위,제목,저자,출판사,요약
59,MariaDB(초보자를 위한),권순용,엑시엄,"서 문
MariaDB는 오픈소스 기반의 관계형 데이터베이스 관리 시스템이다. 상용 데이터베이스에 비하여 기능적인 제한도 있지만, 가볍고 빠르다는 장점과 많은 버전 업그레이드를 통하여 기능과 활용 범위가"
60,오라클 성능 고도화 원리와 해법 1(양장본 HardCover),조시형,디비안(주)(DBian),초 대용량 데이터베이스 환경의 여러 차세대 시스템 구축 프로젝트에서 얻은 소중한 경험과 기술 노하우를 널리 전파하려는 비투엔컨설팅의 첫 번째 역작이다. 데이터베이스 성능 최적화 전문가가 되기를 꿈꾸는
61,오라클 성능 고도화 원리와 해법 2(양장본 HardCover),조시형,디비안(주)(DBian),"""고성능 데이터베이스 애플리케이션 구축을 위해 필수적으로 이해하고 적용해야 할 원리와 해법""
데이터베이스 튜닝과 관련된 핵심 주제를 중심으로, 실전에서 자주 접하는 주요 성능 이슈에 대한 원리와 해법을"
62,SQL BOOSTER,유일환,디비안(주)(DBian),"SQL BOOSTER는 프로젝트 성공을 위한 SQL 필독서다. 이 책은 마치 프로젝트를 진행하는 순서처럼 구성되어 있다. 프로젝트 투입을 위해 필요한 SQL 기술을 설명하고, 성능 테스트를 위해 필요한 기술을 설명한"
63,MS SQL Server 기본에서 실무까지(데이터 분석가와 개발자를 위한),김정현,WIDcloud(위드클라우드),"데이터베이스(DB)의 기초지식과 MS SQL Server의 설치, DB의 생성, SQL 활용 등 데이터베이스의 기초적인 지식 외에 데이터베이스를 활용하여 각종 업무를 자동화 하거나 분석 할 수 있는 DB 프로그래밍 언어인"
64,SAP HANA 2.0 공식 가이드북,Denys van Kempen,셀파소프트(Sherpa Soft),"〈〈SAP HANA 2.0 공식가이드북〉〉은 SAP의 출판사인 SAP PRESS에서 2019년 말 출간된 ‘SAP HANA 2.0 An Introduction’의 번역서로, 인메모리 데이터베이스인 SAP HANA에 대한 아키텍처, 기능, 다양한 용어 등"
65,OCP ORACLE9I DBA FUNDAMENTALS 2 STUDY GUIDE(CD-ROM포함)(1Z0-032),더그 스턴스 외,정보문화사,"오라클 공인 시험 목표를 위한 심도 있는 내용을 다룬 책. OCP데이터베이스 관리자 인증 시험 준비에 반드시 필요한 기본 지식을 제공한다. 오라클 9I데이터베이스의 최적화를 위한 실용적인 정보를 기술하며,"
66,데이터베이스시스템(6판)(CD1장포함),Silberschatz,McGraw-Hill,"데이터베이스에 대한 교재. 데이터베이스 관리의 기초적인 개념들을 설명하였으며 데이터베이스 디자인, 데이터베이스 언어, 데이터베이스 시스템의 구현에 관한 내용들을 포함한다. 개념을 위주로 모든 기술을"
67,이것이 SQL Server다,우재남,한빛미디어,"[이것이 SQL Server다]는 SQL Server의 기본적이면서도 필수적인 내용만 알차게 담은 책이다. 책은 SQL Server/데이터베이스를 처음 시작하는 학습자를 대상으로 해 빠른 시간 안에 실습하고, 실무 환경에도"
68,가상화 기술의 이해: 메모리 가상화(Xen으로 배우는)(Hanbit eBook Realtime 21),박은병,한빛미디어,『가상화 기술의 이해: 메모리 가상화』는 가상 메모리의 주소 체계를 관리하는 다양한 테이블을 소개한 책이다. 세그먼테이션과 페이징을 통해 메모리 보호 방법을 살펴본다. 더불어 CPU에서 메모리 주소 체계를
69,데이터베이스 첫걸음,미크,한빛미디어,"데이터베이스 입문서『데이터베이스 첫걸음』. 이 책은 데이터베이스를 처음 배우는 초보자부터, 기본을 다시 배우고 싶은 관련 업계 종사자들을 위한 내용으로 구성돼 있다. 데이터베이스를 구성하는 다양한"
70,오라클 백업과 복구(실전)(원리부터 실전까지),서진수,생능,"『실전 오라클 백업과 복구』는 실무에서 사용할 수 있는 오라클 백업 및 복구에 관한 상세한 이론과 원리들, 실무예제들을 수록한 책이다. 저자가 실무에서 일하면서 만나고 있는 백업 및 복구 장애현상들을"
71,SQL Server 2012 1: 기본편(뇌를 자극하는),우재남,한빛미디어,"SQL Server를 쉽게 배울 수 있는 『SQL Sever 2012』 제1권 《기본편》. 처음 데이터베이스를 접하거나, SQL Server를 시작하는 독자도 실무의 SQL Server 관리자가 하는 데이터베이스 운영을 막히는 부분 없이"
72,아마존 웹 서비스 클라우드 디자인 패턴 설계 가이드(I♥Cloud 제이펍의 클라우드 시리즈 6)(반양장),타마가와 켄,제이펍,『아마존 웹 서비스 클라우드 디자인 패턴 설계 가이드』는 아마존 최고의 엔지니어가 정리한 48개의 디자인 패턴을 수록하여 바로 활용이 가능하도록 한 책이다. 실제 적용 사례를 구체적인 시나리오를 통해
73,Oracle Exadata,릭 그린워드,비제이퍼블릭,"『Oracle Exadata』는 오라클 엑사데이터 데이터베이스 머신에서 사용 가능한 모든 강력한 기능들을 한층 더 효율적으로 사용할 수 있는 다양한 기술을 소개한 책이다. 본문은 소프트웨어, 서버 및 스토리지의"
74,티베로 실전 가이드(데이터베이스 관리자를 위한),박종현,비팬북스,국산 DBMS 티베로의 모든 것이 담겨 있습니다. 어떤 데이터베이스를 사용하고 계신가요? 갑자기 티베로를 적용해야 하나요? 아니면 기존 데이터베이스에서 티베로로 갈아타야 하나요? 책이라는 매체에 담을 수
75,대용량 데이터베이스솔루션 2(양장본 HardCover),이화식,엔코아컨설팅,
76,iBATIS 인 액션,클린턴 비긴,위키북스,"iBATIS 입문서. 이 책은 프레임워크의 철학을 비롯해서 설정, 매핑 구문, 트랜잭션 등을 포함한 핵심 기능에 대해 설명한 것으로 동적 SQL과 데이터 계층 추상화와 iBATIS 자체를 확장하는 유용한 기법도 익힐 수"
77,데이터 디자인,페어 몰러럽,비즈앤비즈,『데이터 디자인: 정보 디자인과 시각화 원칙』은 데이터 시각화를 200개의 그림과 함께 생생하고 종합적으로 소개한다. 이 책은 사실 정보를 명료하고 효과적으로 표현하는 데 관심 있는 누구에게든 도움이 될
78,데이터베이스 시스템(7판),Elmasri Navathe,도서출판 홍릉(홍릉과학출판사),▶ 이 책은 DB프로그래밍을 다룬 이론서입니다. DB프로그래밍의 기초적이고 전반적인 내용을 학습할 수 있습니다.
79,Pytorch를 이용한 GAN 실제,John Hany,도서출판 홍릉(홍릉과학출판사),"『Pytorch를 이용한 GAN 실제』는 〈GAN 및 PyTorch 소개〉, 〈이미지 합성을 위한 일반적인 GAN 모델〉을 수록하고 있는 책이다."
80,스파크2 프로그래밍(빅데이터 분석을 위한)(개정판)(데이터베이스 & 빅데이터 시리즈 20),백성민,위키북스,"하둡으로 대표되던 빅데이터 처리 기술은 빅데이터와 머신러닝, 딥러닝의 붐을 타고 믿을 수 없을 만큼 빠른 속도로 발전해가고 있습니다. 작년 봄 이 책의 초판이 출시되던 해에 스파크는 이미 최고의 데이터"
81,하루 10분 SQL(위키북스 데이터베이스 & 빅데이터 시리즈 20),한상일,위키북스,《하루 10분 SQL》은 데이터베이스를 처음 접하는 사용자와 초급 개발자를 대상으로 SQL을 쉽게 익힐 수 있도록 구성한 입문서이다. 먼저 실습에 필요한 이론을 배운 후 데이터베이스 시스템 개발 및 유지보수
82,하둡과 스파크를 활용한 실용 데이터 과학,오퍼 멘델리비치,길벗,"이 책은 하둡과 스파크를 활용해 대규모 데이터 분석을 수행하고자 하는 데이터 과학자, 데이터 엔지니어, 비즈니스 이해 관계자를 대상으로 한다. 데이터 엔지니어링 전 과정을 파악하고, 핵심 개념을 개괄적으로"
83,누구나 쉽게 SQL,홍형경,길벗,"- SQL을 쉽게 배울 수는 없을까? -> 쉽다! 옆자리 선배에게 1:1 코칭을 받는 듯!
- 어느 정도 알아야 SQL의 기본을 안다고 말할 수 있을까? -> 이 책의 내용만 다 이해하자!
데이터베이스의 기초부터 SQL"
84,Neo4j로 시작하는 그래프 데이터베이스 2/e,제롬 바톤,에이콘출판,"최근 소셜 네트워크 분석, 상품 추천 시스템, 금융 사기 방지 시스템 그리고 인공지능 등 다양한 분야에서 그래프 데이터베이스가 활용되고 있다. 특히 Neo4j는 대표적인 그래프 데이터베이스로 엄청난 양의"
85,빅쿼리를 활용한 데이터 웨어하우스 구축(데이터 과학),마크 무케티,에이콘출판,"구글의 BigQuery(빅쿼리) 기술을 바탕으로 리포팅과 대시보드 기능을 지원하는 데이터 웨어하우스를 구축하는 방법을 설명한다. BigQuery를 사용해 설계, 빌드, 로드, 검색, 유지하는 방법을 단계별로 진행하면서"
86,멀티 클라우드로의 전환(클라우드 컴퓨팅),제론 멀더,에이콘출판,"멀티 클라우드로의 전환을 고려하고 있다면 이 책이 많은 도움이 될 것이다. 멀티 클라우드의 개념으로 시작해 멀티 클라우드의 BaseOps, FinOps, SecOps, DevOps를 주요 클라우드 플랫폼(Azure, AWS, GCP)의 실제"
87,이것이 오라클이다,우재남,한빛미디어,오라클을 처음 접하거나 단지 이론만으로 학습한 입문자는 실제 현업에서의 업무에 대한 부담이 크다. 이 책은 바로 이런 입문자를 위한 책이다. 실무에서 바로 적용 가능한 다양한 실습 예제를 통해 현업에서
88,이것이 MariaDB다,우재남,한빛미디어,"최대한 빠른 시간 안에, 가장 효율적으로 MariaDB를 익힌다!(MariaDB 10.3 반영) 
이 책은 실무에서 바로 적용 가능한 다양한 실습 예제를 통해 데이터베이스 개발과 운영을 모두 체험해 볼 수 있게 구성했다."
